School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm_Points,Opp_Points,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian NCAA,29,24,5,.828,6.27,-6.37,13,2,13,0,5,4,75.7,60.4,27.1,60.4,.449,7.62,22.2,.344,13.9,20.5,.678,11.3,36.1,17.7,9.72,2.97,13.6,19.1
Air Force,25,5,20,.200,-12.98,0.22,3,17,3,8,1,10,58.7,71.9,20.9,46.8,.446,6.96,21.1,.330,10.0,14.4,.693,4.40,23.2,12.3,7.08,2.48,14.4,16.6
Akron,23,15,8,.652,1.85,-1.96,12,6,9,1,5,5,78.2,72.2,27.3,61.5,.444,9.43,28.3,.333,14.1,18.7,.758,11.4,38.9,13.3,4.91,3.65,11.8,18.0
Alabama A&M,15,6,9,.400,-18.86,-14.99,4,9,5,2,1,7,63.3,67.2,23.1,57.9,.400,5.53,19.1,.290,11.5,18.4,.627,10.7,38.5,10.9,5.47,3.60,15.3,18.1
UAB,29,22,7,.759,5.80,-3.83,13,5,15,2,6,4,72.6,60.3,27.2,60.2,.451,5.07,16.4,.309,13.2,18.9,.696,10.7,36.7,10.6,7.97,4.17,10.5,15.2
Alabama State,18,4,14,.222,-24.28,-16.95,4,14,3,6,1,8,64.2,71.6,21.3,56.1,.380,6.17,19.4,.317,15.5,23.9,.647,11.4,36.3,9.72,6.11,2.39,16.2,19.1
Alabama NCAA,33,26,7,.788,19.58,10.01,16,2,12,1,7,3,79.7,70.1,28.0,64.4,.435,10.5,30.0,.352,13.1,18.5,.708,12.4,40.7,14.1,8.48,4.33,13.9,18.3
Albany (NY),16,7,9,.438,-4.53,-5.22,6,6,4,5,2,4,69.4,68.7,24.7,55.2,.447,6.38,18.9,.337,13.6,18.8,.724,6.88,30.0,11.7,6.13,1.81,12.6,17.8
Alcorn State,19,6,13,.316,-19.58,-10.06,6,7,4,3,2,9,66.1,75.6,22.9,58.3,.393,5.95,19.8,.301,14.4,19.8,.726,10.8,32.0,9.32,7.58,1.58,14.5,20.7
American,10,4,6,.400,-6.32,-1.82,4,5,2,2,2,4,69.1,73.6,24.8,55.7,.445,9.00,23.8,.378,10.5,14.9,.705,7.80,32.6,12.8,7.30,4.70,15.8,19.3
Appalachian State NCAA,29,17,12,.586,-5.84,-5.72,7,8,9,4,4,7,70.3,64.1,23.8,58.2,.409,8.03,25.4,.316,14.7,19.8,.742,11.0,36.3,11.9,7.93,3.69,11.8,13.6
Arizona State,25,11,14,.440,7.48,10.24,7,10,7,6,2,6,74.3,77.1,26.2,60.6,.433,7.16,21.5,.333,14.7,20.2,.728,7.84,31.9,13.1,7.28,3.28,11.0,19.1
Arizona,26,17,9,.654,15.02,8.18,11,9,12,4,5,5,75.4,68.6,25.7,57.4,.447,6.69,18.0,.372,17.4,24.0,.727,11.7,38.3,15.5,5.85,4.00,11.9,17.8
Little Rock,26,11,15,.423,-6.36,-5.40,7,11,7,4,2,8,68.7,68.5,24.5,53.9,.455,5.65,18.2,.311,14.0,19.9,.702,10.0,34.5,13.6,6.35,3.31,15.1,16.1
Arkansas-Pine Bluff,25,4,21,.160,-22.67,-7.79,3,12,2,3,2,17,62.0,76.8,21.0,54.2,.386,4.92,16.0,.308,15.1,20.9,.723,9.60,32.3,9.60,6.40,3.80,15.8,18.2
Arkansas State,24,11,13,.458,-7.97,-5.87,7,8,9,3,1,9,72.5,69.5,25.9,57.9,.447,6.42,16.8,.383,14.4,19.9,.722,11.0,37.2,14.5,6.58,2.83,13.0,16.0
Arkansas NCAA,32,25,7,.781,17.80,7.18,13,4,16,1,5,4,81.4,70.8,29.2,64.7,.451,7.28,21.9,.332,15.7,21.2,.740,11.8,39.7,14.6,7.84,4.94,12.9,16.9
Army,22,12,10,.545,0.06,0.63,7,7,5,5,5,3,71.7,69.5,26.7,58.5,.456,7.82,24.0,.326,10.5,16.5,.637,8.09,34.6,14.4,6.27,1.45,12.5,15.5
Auburn,27,13,14,.481,10.02,9.28,7,11,8,5,3,8,77.2,76.4,26.3,60.3,.437,9.07,27.8,.326,15.4,21.8,.708,12.9,39.4,14.8,6.22,6.04,16.2,17.9
Austin Peay,27,14,13,.519,-6.66,-8.22,10,10,8,5,4,6,74.3,70.0,27.1,59.9,.453,7.19,21.2,.339,12.9,17.1,.751,12.6,34.5,13.2,6.78,2.00,14.7,17.5
Ball State,23,10,13,.435,-1.96,-1.22,8,9,7,4,3,8,74.7,75.5,26.7,60.2,.443,8.48,24.8,.342,13.0,17.3,.751,9.96,36.9,13.8,5.48,2.39,14.3,19.2
Baylor NCAA,30,28,2,.933,24.83,7.40,13,1,11,0,7,1,82.9,65.5,30.6,62.9,.486,9.97,24.1,.413,11.8,16.7,.708,12.5,36.0,16.9,8.90,3.70,11.5,17.1
Bellarmine,22,14,8,.636,-1.76,-5.56,10,3,6,4,7,2,74.3,66.2,28.0,55.0,.508,6.50,17.3,.375,11.9,15.7,.757,7.77,30.3,15.5,7.27,2.27,11.1,15.5
Belmont,30,26,4,.867,3.46,-8.71,18,2,11,1,10,2,81.3,69.1,29.8,61.0,.489,9.03,26.2,.344,12.7,17.2,.738,8.80,35.7,18.2,7.73,2.90,12.0,14.6
