School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,71.9,105.2,.382,.358,.541,48.2,56.9,14.9,6.3,.496,15.1,29.1,.288
Air Force,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6,.174
Akron NCAA,64.1,109.8,.390,.416,.563,53.0,47.9,9.1,9.2,.533,15.4,30.6,.268
Alabama A&M,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.412,16.8,28.7,.239
UAB NCAA,70.4,112.9,.284,.332,.560,53.1,43.8,13.4,11.6,.530,13.8,33.7,.210
Alabama State,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7,.264
Alabama NCAA,73.2,108.1,.329,.476,.547,52.3,53.1,9.6,11.9,.513,16.7,35.3,.239
Albany (NY),65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1,.176
Alcorn State,68.9,95.8,.324,.291,.494,51.1,43.1,10.7,7.6,.458,17.3,31.9,.224
American,66.8,94.2,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6,.177
Appalachian State,65.5,102.0,.273,.430,.513,50.4,51.9,8.5,7.1,.490,13.6,27.3,.180
Arizona State,67.9,94.7,.212,.372,.492,47.2,53.4,9.7,12.4,.471,15.2,24.9,.140
Arizona NCAA,72.7,114.7,.349,.359,.587,55.0,65.0,9.2,13.4,.556,15.8,34.6,.258
Little Rock,68.0,96.3,.325,.379,.524,47.3,55.9,10.0,6.3,.485,17.8,24.6,.239
Arkansas-Pine Bluff,69.3,95.3,.345,.407,.510,43.8,50.1,10.3,6.4,.470,16.8,24.6,.247
Arkansas State,69.5,101.5,.332,.306,.537,51.5,60.7,11.3,8.5,.498,17.4,29.8,.247
Arkansas NCAA,72.0,104.8,.372,.342,.533,52.0,52.7,10.5,11.7,.486,14.6,29.5,.282
Army,69.9,99.9,.316,.355,.516,51.3,48.4,11.1,5.3,.494,16.2,30.0,.199
Auburn NCAA,71.3,108.1,.316,.398,.534,52.5,53.1,11.5,21.1,.499,14.2,33.6,.231
Austin Peay,66.1,96.5,.266,.443,.508,48.6,58.6,9.6,6.1,.478,18.0,29.5,.188
Ball State,71.6,103.4,.374,.412,.549,49.6,51.8,8.4,7.0,.516,17.1,27.1,.260
Baylor NCAA,68.6,111.4,.290,.384,.553,53.4,56.3,12.7,9.7,.528,15.1,36.3,.202
Bellarmine,63.8,109.5,.217,.409,.568,48.3,54.4,8.8,5.8,.545,13.3,23.7,.163
Belmont,70.3,110.5,.266,.434,.585,49.9,62.2,12.8,11.0,.560,15.0,24.6,.197
Bethune-Cookman,67.4,93.3,.287,.252,.491,48.2,45.4,11.7,7.1,.459,17.1,28.4,.198
Binghamton,67.3,100.1,.230,.356,.523,50.5,44.8,8.4,10.0,.504,16.3,27.2,.152
Boise State NCAA,64.9,104.1,.350,.388,.536,53.6,47.0,9.2,9.6,.512,15.9,30.6,.227
Boston College,65.5,100.7,.296,.324,.511,50.9,50.2,10.8,8.6,.478,15.4,30.0,.208
Boston University,65.3,106.9,.290,.378,.552,53.4,43.0,8.5,6.6,.521,15.9,31.1,.214
Bowling Green State,74.4,107.1,.315,.371,.535,50.3,44.3,9.8,9.4,.498,14.1,30.7,.233
Bradley,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1,.192
Brigham Young,69.1,106.7,.265,.377,.549,54.8,53.4,6.9,8.6,.524,15.7,30.8,.190
Brown,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4,.218
Bryant NCAA,73.0,106.1,.322,.431,.538,51.8,50.5,8.8,10.1,.502,16.1,33.1,.236
Bucknell,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4,.217
Buffalo,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2,.184
Butler,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7,.211
Cal Poly,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9,.268
Cal State Bakersfield,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6,.214
Cal State Fullerton NCAA,67.2,104.1,.351,.300,.539,51.1,45.5,10.8,5.7,.494,15.7,29.7,.269
Cal State Northridge,65.7,92.5,.293,.302,.481,46.0,40.6,10.8,7.5,.448,16.1,27.0,.200
California Baptist,69.3,101.6,.366,.430,.539,51.8,65.1,7.4,7.1,.509,17.5,28.7,.246
UC Davis,67.9,99.3,.291,.321,.524,49.3,45.3,8.8,7.8,.493,16.2,26.0,.205
UC Irvine,66.1,100.3,.296,.282,.527,53.0,44.8,9.1,9.4,.488,17.7,30.7,.227
UC Riverside,66.1,99.5,.268,.407,.536,52.1,54.6,7.8,3.3,.507,16.5,24.1,.193
UC San Diego,68.5,102.0,.321,.456,.562,46.4,56.7,8.4,4.6,.528,16.7,18.5,.240
UC Santa Barbara,67.0,107.8,.374,.300,.574,53.2,58.0,9.1,7.7,.544,17.1,29.3,.265
California,64.9,96.4,.253,.316,.501,50.9,45.2,7.4,7.2,.469,15.1,25.3,.184
Campbell,63.9,102.7,.275,.369,.542,49.7,56.0,9.6,7.0,.519,14.6,22.2,.187
Canisius,69.6,97.6,.299,.397,.494,49.3,53.5,8.6,6.6,.461,14.6,28.5,.207
Central Arkansas,73.0,99.4,.227,.352,.523,48.6,51.5,9.2,8.0,.493,16.3,27.4,.172
Central Connecticut State,66.2,92.2,.291,.392,.495,46.6,49.3,9.3,6.3,.460,18.1,26.3,.206
Central Florida,68.1,102.2,.285,.431,.528,49.7,58.8,10.2,10.9,.499,16.5,30.8,.201
Central Michigan,68.8,95.4,.305,.401,.509,46.6,49.7,9.1,9.0,.478,17.3,25.3,.211
Charleston Southern,71.3,95.6,.304,.454,.507,50.0,49.8,9.1,8.1,.478,17.8,27.6,.206
Charlotte,66.7,105.1,.280,.398,.564,49.0,55.4,7.2,8.0,.529,15.6,22.6,.221
Chattanooga NCAA,66.0,111.6,.266,.389,.560,53.7,47.0,10.8,6.4,.531,14.2,32.7,.198
Chicago State,66.7,93.0,.294,.438,.487,48.3,43.3,8.2,6.4,.459,18.8,32.2,.192
Cincinnati,68.6,101.2,.296,.424,.499,49.8,53.3,9.2,9.7,.470,13.1,29.9,.198
The Citadel,71.0,106.0,.295,.498,.554,49.5,59.7,6.5,9.1,.533,14.9,25.4,.198
Clemson,66.6,106.8,.298,.378,.555,51.4,55.2,8.8,7.2,.524,14.6,25.8,.219
Cleveland State,68.7,107.5,.362,.338,.559,51.9,60.1,12.3,10.4,.534,16.7,33.8,.243
Coastal Carolina,67.6,106.6,.307,.358,.541,53.9,51.0,9.8,11.2,.513,16.4,34.2,.214
Colgate NCAA,67.6,111.4,.262,.422,.579,51.9,62.0,9.0,9.3,.559,14.8,26.6,.182
College of Charleston,74.3,104.5,.304,.376,.536,54.7,47.2,10.6,7.2,.503,17.6,35.9,.222
Colorado State NCAA,66.0,110.4,.296,.395,.583,49.8,53.8,9.6,9.8,.551,13.8,22.1,.229
