School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm_Points,Opp_Points,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,36,25,11,.694,2.25,-2.09,11,7,14,3,6,6,76.7,67.6,26.3,60.0,.438,6.86,21.5,.320,17.3,22.9,.754,10.4,32.1,14.9,10.9,1.86,12.6,22.3
Air Force,29,11,18,.379,-5.67,1.33,4,13,7,6,2,10,59.0,66.0,21.6,49.6,.436,7.17,21.6,.333,8.62,13.3,.649,5.93,26.6,12.5,5.45,3.03,13.6,18.0
Akron NCAA,34,24,10,.706,0.91,-3.93,14,6,12,3,8,4,70.6,62.6,24.3,52.9,.460,7.79,22.0,.354,14.2,20.6,.689,9.82,34.9,11.6,5.85,3.24,11.4,15.8
Alabama A&M,30,12,18,.400,-14.43,-8.86,10,8,7,3,4,14,61.4,67.0,21.9,57.8,.379,3.90,14.4,.271,13.8,19.4,.713,11.1,37.8,9.50,7.03,3.20,13.6,16.1
UAB NCAA,35,27,8,.771,10.90,-0.14,14,4,16,2,7,4,80.3,66.7,29.6,63.2,.468,7.89,21.0,.376,13.3,18.0,.739,12.1,38.3,12.9,9.54,4.17,11.5,16.5
Alabama State,31,10,21,.323,-12.05,-5.45,8,10,7,6,3,15,69.7,75.2,24.2,56.8,.426,6.23,18.7,.332,15.0,21.5,.698,10.5,34.3,12.0,7.55,3.58,15.4,18.1
Alabama NCAA,33,19,14,.576,14.62,11.59,9,9,13,3,3,7,79.5,76.5,27.6,62.8,.440,9.24,29.9,.309,15.0,20.6,.728,13.4,39.6,14.7,7.06,4.70,14.5,18.5
Albany (NY),31,13,18,.419,-9.80,-5.77,9,9,4,8,8,9,61.8,65.9,23.0,56.2,.410,5.87,18.2,.323,9.90,14.1,.704,9.06,32.0,9.42,6.74,2.45,12.4,18.0
Alcorn State,34,17,17,.500,-8.68,-4.12,14,4,6,3,9,13,66.5,71.1,24.0,58.4,.412,5.38,17.1,.316,13.1,18.9,.692,11.8,35.9,10.4,7.44,2.71,14.1,17.8
American,32,10,22,.313,-15.38,-7.91,5,13,6,5,4,16,63.5,70.9,24.4,54.3,.450,5.03,15.2,.331,9.63,13.9,.694,6.97,30.7,12.2,6.53,3.06,13.3,14.9
Appalachian State,34,19,15,.559,-1.45,-1.45,12,6,11,5,6,7,67.1,63.1,24.2,57.8,.418,8.32,24.9,.335,10.4,15.8,.659,9.85,35.3,12.6,5.62,2.50,10.3,12.9
Arizona State,31,14,17,.452,7.64,9.48,10,10,9,6,5,7,65.4,67.2,25.0,60.4,.414,6.90,22.5,.307,8.48,12.8,.661,9.42,35.5,13.4,6.68,4.23,11.9,18.1
Arizona NCAA,37,33,4,.892,22.75,6.84,18,2,17,0,9,3,84.0,68.1,30.2,61.3,.492,7.76,22.0,.352,15.8,21.4,.739,11.6,41.4,19.6,6.73,5.68,13.4,16.7
Little Rock,28,9,19,.321,-12.05,-0.73,3,11,6,7,1,10,66.7,73.1,23.3,55.1,.422,7.04,20.9,.337,13.2,17.9,.735,8.32,31.5,13.0,6.93,2.14,13.8,16.7
Arkansas-Pine Bluff,31,7,24,.226,-18.96,-4.58,5,13,5,7,2,17,66.3,78.3,22.8,55.9,.409,6.84,22.7,.301,13.8,19.3,.715,8.77,29.5,11.5,7.16,2.58,13.1,17.4
Arkansas State,29,18,11,.621,-3.27,-3.50,8,7,11,3,6,7,70.9,68.1,25.7,57.0,.451,5.41,17.4,.311,14.1,18.9,.745,10.1,36.0,15.6,7.90,3.31,13.9,16.6
Arkansas NCAA,37,28,9,.757,16.27,8.62,13,5,17,1,5,4,75.9,68.3,26.3,60.6,.434,6.30,20.7,.304,17.1,22.5,.760,10.8,37.8,13.8,7.59,4.14,12.2,16.9
Army,31,15,16,.484,-10.53,-7.53,9,9,10,4,4,12,70.4,70.4,25.9,59.3,.437,6.74,21.0,.321,11.8,18.7,.630,11.1,37.2,12.5,7.84,1.87,13.2,14.8
Auburn NCAA,34,28,6,.824,19.20,8.17,15,3,16,0,8,3,78.2,67.2,27.7,63.7,.435,8.06,25.4,.318,14.7,20.1,.731,12.8,40.4,14.7,8.35,8.00,12.1,18.5
Austin Peay,29,12,17,.414,-10.02,-3.39,8,10,6,5,6,11,64.7,69.1,23.1,56.5,.408,7.90,25.0,.315,10.6,15.0,.706,10.6,32.8,13.5,6.41,2.03,14.0,16.7
Ball State,31,14,17,.452,-7.99,-4.56,9,10,9,5,4,9,74.3,76.8,25.4,57.5,.442,8.55,23.7,.361,14.9,21.5,.694,9.71,35.6,13.2,6.06,2.42,14.0,17.9
Baylor NCAA,34,27,7,.794,21.73,8.76,14,4,15,2,8,3,77.0,64.1,28.3,61.3,.462,8.06,23.5,.343,12.4,17.8,.697,12.9,37.2,15.9,8.76,3.44,12.4,16.1
Bellarmine,33,20,13,.606,-3.77,-1.28,11,5,11,4,8,8,70.1,67.2,26.6,56.0,.475,7.79,22.9,.340,9.12,12.1,.753,7.27,30.3,14.5,5.61,1.67,9.45,14.3
Belmont,33,25,8,.758,6.49,-2.57,15,3,13,1,10,5,78.3,68.6,29.0,59.4,.488,8.55,25.8,.332,11.7,15.8,.743,7.76,33.5,18.0,9.06,3.91,11.8,13.7
Bethune-Cookman,30,9,21,.300,-14.70,-6.70,7,11,4,6,4,13,63.4,69.5,23.7,56.8,.416,4.80,14.3,.336,11.2,16.3,.689,10.0,32.6,10.7,7.93,2.43,13.4,17.1
Binghamton,29,12,17,.414,-10.41,-6.18,8,10,5,8,7,9,67.7,68.4,25.7,58.3,.441,7.34,20.8,.354,8.86,13.4,.661,9.52,36.0,11.5,5.66,3.66,12.6,16.7
Boise State NCAA,35,27,8,.771,11.93,5.22,15,3,13,3,9,3,68.3,60.9,24.3,54.6,.445,7.34,21.2,.346,12.4,19.1,.650,10.2,34.8,11.4,6.00,3.43,12.1,15.0
Boston College,33,13,20,.394,4.03,5.22,6,14,9,7,2,10,66.9,68.1,24.6,57.5,.428,5.76,18.6,.309,12.0,17.0,.704,10.7,34.2,12.4,7.18,2.94,11.9,15.6
Boston University,35,22,13,.629,-5.07,-7.34,11,7,11,4,8,8,70.6,67.7,25.5,56.2,.454,7.51,21.2,.354,12.0,16.3,.739,10.2,34.8,11.0,5.63,2.43,12.1,15.6
Bowling Green State,31,13,18,.419,-8.82,-4.44,6,14,9,7,3,10,80.3,80.5,28.4,65.3,.435,8.23,24.2,.340,15.2,20.5,.739,12.1,38.8,12.6,7.32,3.42,12.3,17.7
Bradley,31,17,14,.548,5.79,1.19,11,7,12,2,3,8,70.5,65.2,25.8,58.1,.444,7.77,23.0,.338,11.2,16.2,.689,11.2,38.8,13.5,6.35,4.58,13.5,17.0
Brigham Young,35,24,11,.686,10.05,5.23,9,6,14,3,6,5,74.3,68.3,27.4,60.0,.457,8.00,22.7,.353,11.4,15.9,.718,10.7,39.3,14.7,4.80,3.17,12.6,17.7
Brown,29,13,16,.448,-3.32,-1.91,5,9,6,7,6,7,71.0,69.5,25.5,58.6,.435,7.21,23.0,.313,12.8,18.0,.709,10.5,35.5,12.2,6.69,3.86,13.1,17.9
Bryant NCAA,32,22,10,.688,-4.80,-7.41,15,2,14,1,7,7,78.0,73.4,27.5,62.9,.437,8.25,27.1,.304,14.8,20.3,.732,12.6,41.3,13.9,6.47,4.47,13.9,17.0
Bucknell,32,9,23,.281,-14.62,-6.37,5,13,7,6,2,15,71.2,79.4,25.6,55.9,.457,7.91,21.0,.376,12.1,15.8,.765,6.81,31.7,14.7,4.63,3.13,13.5,15.3
Buffalo,30,19,11,.633,1.90,-3.21,13,6,9,3,9,6,79.9,72.3,29.7,65.2,.455,8.50,24.9,.342,12.0,17.0,.709,14.2,42.4,15.0,7.13,4.57,13.2,17.1
Butler,33,14,19,.424,4.45,9.16,6,14,9,7,3,8,63.8,66.9,22.7,54.5,.416,6.94,22.8,.305,11.5,16.5,.696,9.03,32.8,11.0,5.18,2.42,12.0,16.7
Cal Poly,28,7,21,.250,-10.60,-3.30,4,12,4,7,2,12,61.5,67.3,21.2,51.8,.409,5.25,18.1,.290,13.9,19.0,.728,9.25,35.0,10.5,4.71,2.43,14.7,19.4
Cal State Bakersfield,28,9,19,.321,-7.57,-2.01,2,14,6,7,2,11,64.9,66.3,24.4,57.6,.423,3.82,13.3,.288,12.3,17.5,.706,11.9,35.0,9.96,6.18,2.39,11.7,20.6
Cal State Fullerton NCAA,32,21,11,.656,-0.04,-2.28,12,5,11,2,7,7,70.0,66.5,24.8,55.7,.445,5.50,16.7,.329,15.0,19.5,.766,9.75,33.4,11.3,7.28,1.97,12.1,15.8
Cal State Northridge,30,7,23,.233,-12.02,-1.41,3,15,4,11,3,11,61.6,71.2,22.6,56.1,.403,5.13,16.9,.303,11.2,16.5,.682,9.83,31.7,9.17,7.20,2.53,12.3,18.7
California Baptist,34,18,16,.529,-3.53,-3.34,7,11,14,5,3,9,70.6,67.2,24.4,55.9,.437,8.00,24.0,.333,13.8,20.4,.673,10.0,37.1,15.9,5.18,2.74,13.9,18.4
UC Davis,24,13,11,.542,-3.70,-4.29,6,6,7,5,5,4,67.8,66.4,25.0,56.9,.440,6.08,18.3,.333,11.7,16.5,.705,8.88,34.3,11.3,6.00,2.88,12.5,18.5
UC Irvine,25,15,10,.600,1.59,-0.93,10,5,9,1,6,7,66.2,60.3,24.4,55.1,.442,5.04,15.5,.325,12.5,16.3,.765,10.0,36.3,10.9,6.00,3.56,13.5,18.0
UC Riverside,28,16,12,.571,-0.92,-1.89,10,7,10,4,6,7,66.6,63.7,24.4,55.1,.442,7.18,22.4,.320,10.6,14.8,.720,7.89,35.5,13.3,5.25,1.32,12.3,16.0
UC San Diego,29,13,16,.448,-7.04,-3.78,7,11,9,4,4,11,70.2,70.6,24.0,54.2,.444,9.14,24.7,.370,13.0,17.4,.748,5.93,30.6,13.6,5.76,1.83,12.6,14.6
UC Santa Barbara,28,17,11,.607,1.38,-4.39,9,6,11,3,5,7,73.8,65.8,27.0,54.5,.494,5.43,16.4,.332,14.4,20.4,.708,9.07,34.9,15.6,6.25,2.93,13.3,17.3
California,32,12,20,.375,3.96,6.96,5,15,10,8,2,9,63.1,66.1,23.6,56.2,.420,5.47,17.8,.308,10.3,14.2,.727,8.72,35.0,10.7,4.88,2.59,11.2,16.5
Campbell,29,16,13,.552,-4.84,-5.76,8,8,9,4,5,8,66.2,62.0,24.9,54.0,.460,6.34,19.9,.318,10.1,14.9,.680,6.93,31.9,13.9,6.21,2.28,10.4,13.8
Canisius,32,11,21,.344,-7.48,-2.25,7,13,10,5,1,15,68.5,71.5,24.3,60.7,.400,7.38,24.1,.306,12.6,18.1,.693,11.1,35.4,13.0,6.03,2.59,11.8,17.2
Central Arkansas,31,11,20,.355,-13.83,-1.70,7,9,8,4,3,14,73.2,81.1,27.8,63.2,.440,6.68,22.2,.300,10.9,14.3,.761,10.1,35.5,14.3,6.81,3.19,13.7,16.7
Central Connecticut State,32,8,24,.250,-17.43,-7.09,4,13,4,7,4,15,61.8,72.1,21.6,54.8,.393,7.34,21.5,.342,11.3,16.0,.708,9.25,31.9,10.6,6.22,2.19,13.8,16.1
Central Florida,30,18,12,.600,6.23,4.63,9,9,13,3,4,8,69.8,68.2,24.7,58.3,.423,8.80,25.1,.350,11.7,16.6,.703,11.1,35.2,14.5,7.00,3.67,13.0,15.7
Central Michigan,30,7,23,.233,-12.56,-1.52,6,12,2,9,5,11,65.9,77.0,23.1,56.5,.409,7.73,22.7,.341,11.9,17.2,.692,9.20,33.2,11.5,6.27,3.03,13.6,19.9
Charleston Southern,31,6,25,.194,-17.56,-4.21,1,15,4,9,1,13,68.5,76.0,24.0,59.0,.408,8.26,26.8,.308,12.1,17.9,.676,10.5,36.2,12.0,6.55,3.00,14.6,16.2
Charlotte,31,17,14,.548,-1.62,-0.42,10,8,11,4,6,6,70.0,71.2,25.2,54.8,.460,7.52,21.8,.345,12.1,15.3,.792,7.10,31.3,14.0,4.81,2.90,11.5,14.1
Chattanooga NCAA,35,27,8,.771,6.12,-0.94,14,4,12,3,12,4,74.2,64.4,27.3,58.8,.464,7.89,22.9,.345,11.7,15.6,.746,10.8,36.1,12.8,7.20,2.14,11.0,15.6
Chicago State,32,7,25,.219,-14.24,-1.96,3,15,5,9,2,15,62.1,74.4,21.9,56.0,.391,7.59,24.5,.310,10.8,16.4,.654,11.5,33.3,9.47,5.47,2.25,14.8,19.7
Cincinnati,33,18,15,.545,7.44,4.28,7,11,12,6,4,7,69.4,65.9,24.6,61.0,.404,8.15,25.8,.315,12.1,18.0,.669,11.5,37.2,13.1,6.30,3.85,10.5,17.5
The Citadel,31,13,18,.419,-6.80,-1.97,6,12,7,8,5,9,76.8,76.8,27.0,60.8,.445,10.7,30.3,.354,12.0,17.9,.672,9.32,37.3,16.1,4.71,3.58,12.2,15.3
Clemson,33,17,16,.515,9.59,6.31,8,12,11,5,3,8,71.7,68.5,25.8,56.6,.456,7.76,21.4,.363,12.4,16.8,.736,8.52,34.6,14.2,5.91,2.33,11.0,15.8
Cleveland State,31,20,11,.645,-1.78,-5.64,15,6,15,3,5,7,75.4,69.9,27.5,57.5,.478,6.35,19.4,.327,14.0,20.8,.671,11.1,35.2,16.5,8.65,3.35,13.5,18.3
Coastal Carolina,33,19,14,.576,0.66,-2.41,8,8,13,7,5,5,72.8,65.3,26.4,58.7,.450,7.45,21.0,.355,12.5,18.0,.696,12.1,39.9,13.5,6.67,3.67,13.2,14.3
Colgate NCAA,35,23,12,.657,0.98,-6.37,16,2,15,1,8,10,75.6,67.1,27.5,58.1,.474,9.91,24.5,.404,10.6,15.2,.697,8.83,36.2,17.1,6.11,3.60,11.3,14.5
College of Charleston,32,17,15,.531,0.52,-1.23,8,10,9,6,7,8,78.2,76.4,28.0,63.7,.439,8.13,23.9,.339,14.1,19.3,.730,13.8,40.3,13.2,7.97,2.75,15.6,20.6
